question,reference_answer,answer,score,dataset,dataset_num,normalized_score,soal_num,kategori,before,score_bin
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,Glukosa memiliki andil krusial dalam metabolisme atau proses yang berperan menyeimbangkan keasaman dan kebasaan dalam tubuh glukosa dapat meminimalisir terjadinya kelalaian proses oksidasi lemak fungsi glukosa yang utama adalah sebagai produsen energi makanan berglukosa dan serat tinggi dapat membantu memfasilitasi proses pada pencernaan,82,analisis_essay,analisis_essay-1,0.82,1,lifestyle,karbohidrat mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi makanan berkarbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan,80-89
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,Glukosa memiliki fungsi krusial untuk proses metabolisme atau proses yang bertugas menyeimbangkan keasaman dan kebasaan dalam tubuh glukosa dapat menghindarkan terjadinya gangguan proses oksidasi lemak fungsi glukosa yang utama adalah sebagai sumber energi makanan berglukosa dan serat tinggi dapat membantu mempermudah proses pada pencernaan,82,analisis_essay,analisis_essay-1,0.82,1,lifestyle,karbohidrat mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi makanan berkarbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan,80-89
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,kegunaan karbohidrat bagi tubuh adalah sebagai sumber energi bagi tubuh untuk melakukan aktivitas sehari hari,23,analisis_essay,analisis_essay-1,0.23,1,lifestyle,kegunaan karbohidrat bagi tubuh adalah sebagai sumber energi bagi tubuh untuk melakukan aktivitas sehari hari,20-29
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,karbohidrat berguna sebagai pemberi energi agar tubuh kita memiliki tenaga dalam melakukan aktivitas sehari hari,24,analisis_essay,analisis_essay-1,0.24,1,lifestyle,karbohidrat berguna sebagai pemberi energi agar tubuh kita memiliki tenaga dalam melakukan aktivitas sehari hari,20-29
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa di dalam tubuh serta proses untuk membentuk jaringan sel struktur dan juga organ organ dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi dalam 1 gram karbohidrat mampu menghasilkan 4 kkalori yang melalui proses pembakaran kimiawi di dalam tubuh akan menjadi sumber energi makanan ber karbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan karena sifat kandungan yang ada dalam karbohidrat yang manis maka fungsi karbohidrat kali ini adalah sebagai pemanis alami khususnya dengan kandungan monosakarida dan disakarida fungsi karbohidrat juga berperan penting untuk mengoptimalkan kerja protein karena apabila tubuh mengalami kekurangan asupan karbohidrat maka protein akan menggantikan fungsi karbohidrat sebagai penghasil energi dan zat pembentuk tubuh,79,analisis_essay,analisis_essay-1,0.79,1,lifestyle,mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa di dalam tubuh serta proses untuk membentuk jaringan sel struktur dan juga organ organ dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi dalam 1 gram karbohidrat mampu menghasilkan 4 kkalori yang melalui proses pembakaran kimiawi di dalam tubuh akan menjadi sumber energi makanan ber karbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan karena sifat kandungan yang ada dalam karbohidrat yang manis maka fungsi karbohidrat kali ini adalah sebagai pemanis alami khususnya dengan kandungan monosakarida dan disakarida fungsi karbohidrat juga berperan penting untuk mengoptimalkan kerja protein karena apabila tubuh mengalami kekurangan asupan karbohidrat maka protein akan menggantikan fungsi karbohidrat sebagai penghasil energi dan zat pembentuk tubuh,70-79
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,meningkatkan vitalitas dalam tubuh untuk proses metabolisme memperlancar proses pencernaan untuk mengoptimalkan kerja enzim,35,analisis_essay,analisis_essay-1,0.35,1,lifestyle,menambah energi dalam tubuh untuk proses metabolisme memperlancar proses pencernaan untuk mengoptimalkan kerja protein,30-39
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,agar tubuh menjadi bersemangat dan sehat kuat,10,analisis_essay,analisis_essay-1,0.1,1,lifestyle,agar tubuh menjadi bersemangat dan sehat kuat,0-9
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,1 sebagai sumber energi pada tubuh 2 sebagai penghasil gula darah 3 sebagai sumber tenaga 4 sebagai pemenuh kebutuhan tubuh,28,analisis_essay,analisis_essay-1,0.28,1,lifestyle,1 sebagai sumber energi pada tubuh 2 sebagai penghasil gula darah 3 sebagai sumber tenaga 4 sebagai pemenuh kebutuhan tubuh,20-29
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,untuk pasokan energi untuk pembentuk sel sebagai sumber kekuatan sebagai pembentuk daging,19,analisis_essay,analisis_essay-1,0.19,1,lifestyle,untuk sumber energi untuk pembentuk sel sebagai sumber tenaga sebagai pembentuk daging,10-19
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,glukosa bermanfaat untuk meningkatkan tenaga pada tubuh kita,20,analisis_essay,analisis_essay-1,0.2,1,lifestyle,karbohidrat berguna untuk menambah energi pada tubuh kita,10-19
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,karbohidrat digunakan untuk nutrisi tubuh sumber energi sebagai glukosa dan memberikan tenaga cadangan,23,analisis_essay,analisis_essay-1,0.23,1,lifestyle,karbohidrat digunakan untuk nutrisi tubuh sumber energi sebagai glukosa dan memberikan tenaga cadangan,20-29
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,kegunaan karbohidrat adalah sebagai sumber energi bagi tubuh agar bisa melaksanakan aktivitas dengan lancar,22,analisis_essay,analisis_essay-1,0.22,1,lifestyle,kegunaan karbohidrat adalah sebagai sumber energi bagi tubuh agar bisa melaksanakan aktivitas dengan lancar,20-29
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,Glukosa memiliki fungsi krusial untuk aktivitas metabolisme atau proses yang bertugas menyeimbangkan asam dan basa dalam tubuh glukosa dapat menahan terjadinya kekurangan proses oksidasi lemak fungsi glukosa yang utama adalah sebagai sumber energi makanan berglukosa dan serat tinggi dapat membantu menyempurnakan proses pada pencernaan,82,analisis_essay,analisis_essay-1,0.82,1,lifestyle,karbohidrat mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi makanan berkarbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan,80-89
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,untuk penambah stamina dalam tubuh kita dan untuk pencernaan,17,analisis_essay,analisis_essay-1,0.17,1,lifestyle,untuk penambah stamina dalam tubuh kita dan untuk pencernaan,10-19
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,karbohidrak untuk tubuh manusia berguna untuk memberikan energi bagi tubuh kita,21,analisis_essay,analisis_essay-1,0.21,1,lifestyle,karbohidrak untuk tubuh manusia berguna untuk memberikan energi bagi tubuh kita,20-29
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,sebagai asupan yang dapat menambah energi dan untuk mengatur kestabilan tubuh apabila dikonsumsi tidak berlebihan,33,analisis_essay,analisis_essay-1,0.33,1,lifestyle,sebagai asupan yang dapat menambah energi dan untuk mengatur kestabilan tubuh apabila dikonsumsi tidak berlebihan,30-39
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,karbohidrat mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi makanan berkarbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan,82,analisis_essay,analisis_essay-1,0.82,1,lifestyle,karbohidrat mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi makanan berkarbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan,80-89
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,meningkatkan tenaga dalam tubuh untuk proses metabolisme memperlancar proses pencernaan untuk mengoptimalkan kerja enzim,35,analisis_essay,analisis_essay-1,0.35,1,lifestyle,menambah energi dalam tubuh untuk proses metabolisme memperlancar proses pencernaan untuk mengoptimalkan kerja protein,30-39
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,Glukosa memiliki fungsi krusial untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa dalam tubuh glukosa dapat mencegah terjadinya ketidakserasian proses oksidasi lemak fungsi glukosa yang utama adalah sebagai pemasok energi makanan berglukosa dan serat tinggi dapat membantu memperlancar proses pada pencernaan,82,analisis_essay,analisis_essay-1,0.82,1,lifestyle,karbohidrat mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi makanan berkarbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan,80-89
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,glukosa memiliki peranan krusial untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa dalam tubuh glukosa dapat meminimalkan terjadinya ketidaklengkapan proses oksidasi lemak fungsi glukosa yang utama adalah sebagai penyedia energi makanan berkarbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan,82,analisis_essay,analisis_essay-1,0.82,1,lifestyle,karbohidrat mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi makanan berkarbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan,80-89
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,1 untuk menjaga sistem imun tubuh 2 untuk proses metabolisme penyeimbang asam dan basa didalam tubuh 3 mencegah terjadinya ketidaksempurnaan untuk proses oksidasi lemak 4 pemasok energi,48,analisis_essay,analisis_essay-1,0.48,1,lifestyle,1 untuk menjaga sistem imun tubuh 2 untuk proses metabolisme penyeimbang asam dan basa didalam tubuh 3 mencegah terjadinya ketidaksempurnaan untuk proses oksidasi lemak 4 pemasok energi,40-49
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,1 kegunaannya untuk memberikan tenaga bagi tubuh kita 2 memberikan energi 3 memberikan lemak 4 memberikan efek kenyang bagi tubuh kita,52,analisis_essay,analisis_essay-1,0.52,1,lifestyle,1 kegunaannya untuk memberikan tenaga bagi tubuh kita 2 memberikan energi 3 memberikan lemak 4 memberikan efek kenyang bagi tubuh kita,50-59
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,untuk memanfaatkan energi yang sudah terkuras,15,analisis_essay,analisis_essay-1,0.15,1,lifestyle,untuk menggantikan energi yang sudah terkuras,10-19
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,memiliki fungsi krusial untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa di dalam tubuh serta proses untuk membentuk jaringan sel struktur dan juga organ organ dalam tubuh glukosa dapat mencegah terjadinya ketidakakuratan proses oksidasi lemak fungsi glukosa yang utama adalah sebagai pemasok energi dalam 1 gram glukosa mampu menghasilkan 4 kkalori yang melalui proses pembakaran kimiawi di dalam tubuh akan menjadi sumber energi makanan ber glukosa dan serat tinggi dapat membantu memperlancar proses pada pencernaan karena sifat kandungan yang ada dalam glukosa yang manis maka fungsi glukosa kali ini adalah sebagai pemanis alami khususnya dengan kandungan monosakarida dan disakarida fungsi glukosa juga berperan penting untuk mengoptimalkan kerja protein karena apabila tubuh mengalami kekurangan asupan glukosa maka protein akan menggantikan fungsi glukosa sebagai penghasil energi dan zat pembentuk tubuh,79,analisis_essay,analisis_essay-1,0.79,1,lifestyle,mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa di dalam tubuh serta proses untuk membentuk jaringan sel struktur dan juga organ organ dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi dalam 1 gram karbohidrat mampu menghasilkan 4 kkalori yang melalui proses pembakaran kimiawi di dalam tubuh akan menjadi sumber energi makanan ber karbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan karena sifat kandungan yang ada dalam karbohidrat yang manis maka fungsi karbohidrat kali ini adalah sebagai pemanis alami khususnya dengan kandungan monosakarida dan disakarida fungsi karbohidrat juga berperan penting untuk mengoptimalkan kerja protein karena apabila tubuh mengalami kekurangan asupan karbohidrat maka protein akan menggantikan fungsi karbohidrat sebagai penghasil energi dan zat pembentuk tubuh,70-79
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,Kalimat hasil: 1 manfaatnya untuk menyuplai kekuatan bagi tubuh kita 2 menghadirkan energi 3 menyajikan lemak 4 memberikan dampak rasa kenyang bagi tubuh kita,52,analisis_essay,analisis_essay-1,0.52,1,lifestyle,1 kegunaannya untuk memberikan tenaga bagi tubuh kita 2 memberikan energi 3 memberikan lemak 4 memberikan efek kenyang bagi tubuh kita,50-59
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,tenaga kesehatan tulang dan tubuh,8,analisis_essay,analisis_essay-1,0.08,1,lifestyle,tenaga kesehatan tulang dan tubuh,0-9
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,sumber daya badan mengatur komposisi tubuh,15,analisis_essay,analisis_essay-1,0.15,1,lifestyle,sumber energi tubuh mengendalikan berat badan,10-19
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,untuk daya untuk pembentuk sel sebagai sumber kekuatan sebagai pembentuk daging,19,analisis_essay,analisis_essay-1,0.19,1,lifestyle,untuk sumber energi untuk pembentuk sel sebagai sumber tenaga sebagai pembentuk daging,10-19
