question,reference_answer,answer,score,dataset,dataset_num
What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product,simulating the behavior of only a portion of the desired software product,5.0,sag,sag-71
What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product,it is used to let the users have a first idea of the completed program and allow the clients to evaluate the program this can generate much feedback including software specifications and project estimations of the total project,3.0,sag,sag-71
What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product,you can break the whole program into prototype programs to simulate parts of the final program,5.0,sag,sag-71
What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product,to address major issues in the creation of the program there is no way to account for all possible bugs in the program but it is possible to prove the program is tangible,2.5,sag,sag-71
What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product,it simulates the behavior of portions of the desired software product,5.0,sag,sag-71
What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product,program that simulates the behavior of portions of the desired software product,5.0,sag,sag-71
What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product,to lay out the basics and give you a starting point in the actual problem solving,2.0,sag,sag-71
What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product,to find problem and errors in a program before it is finalized,2.0,sag,sag-71
What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product,a prototype program is used in problem solving to collect data for the problem,1.5,sag,sag-71
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,constructors cannot return values so they cannot specify a return type normally constructors are declared public,4.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,all constructors are functions but not all functions are constructors also functions can have nearly infinite purposes while constructors always create an instance of whichever class you are using you can change how a constructor does something but not what it does with functions you can change not only the how but also the what,3.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor does not need a type and it is used to initialize the variables,3.5,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,constructors do not have a return type,4.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor is a function used to initialize an object s data when it is created it is call is made implicitly when the object is created and must be defined with the same name as the class constructor also cannot return a value like a function can,5.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor initialized values at the execution of its instantiation it provides default values,3.5,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor is used to create an instance of a class and has the same name as that class a function cannot have the same name as a class and computes data,4.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor typically used to intialize data members and allocate resources for instance memory files etc also a constructor cannot return values functions are operations that maybe globally defined,4.5,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor is a function that initializes a class instance a function performs whatever task it is written for,3.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor is called whenever a new object of that class is made,3.5,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,constructor creates the class object into memory where functions perform actions against that object,3.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,constructors cannot return values,4.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,unlike regular functions constructors are only used to initialize an object s data when it is created constructors must also be given the same name as the class and cannot return any values,5.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor initializes values and a function usual performs some sort of operation,2.5,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor does not return any date and has no return type functions can return date or not return data can have a return type,4.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,constructor is a special block of statements called when an object is created either when it is declared statically or constructed on the stack however a function is a portion of code within a larger program which performs a specific task and independent to the rest of the code,4.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor is a function used to initialize an object s data when it is created,3.5,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor is a method that starts new instances of a class example employee employee 1parametersstarts a new instance of object of type employee a function is simply a module within a program that completes its single desired task,3.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor is automatically called whenever an instance of a class is created a function must be explicitly called by the user,4.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor cannot return values not even void but function get a return value,4.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor is called when the class is created a function can be called any time,3.5,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor is used to create an object that can be employed in the main function of a program this may or may not execute code along with it a function is a set of code that executes when called but does not create a new object,3.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,constructors cannot return values so they cannot specify a return type like functions can,4.0,sag,sag-53
What is the difference between a constructor and a function?,a constructor is called whenever an object is created whereas a function needs to be called explicitely constructors do not have return type but functions have to indicate a return type,a constructor cannot return values its not even void it is used to initialize an object s data when it is created whereas a function is created to do a specific task and it can return values,5.0,sag,sag-53
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,during compilation,3.5,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,when the class does not explicitly include a constructor,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,c plus plus will create a default constructor when no other constructor is present,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,in any class that does not explicitly include a constructor,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,at the very beginning when you run a complier matter a fact in c plus plus it generates its own default constructor for the class provided if no other constructors have been provided by user,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,when one is not explicitly stated,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,when the programmer does not explicitly include a constructor,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,when you dont specify any constructors,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,the compiler creates a default constructor when we do not define one in our class file,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,when it the programs compiles,3.5,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,when one is not explicitly included by a class,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,before the main function of the code,1.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,when a constructor is not provided by the programmer of the class,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,when no parameters are set is when a default constructor is used,3.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,when there is not one already for a specific class,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,when non are provided,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,c plus plus creates a default constructor during compilation if one is not provided,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,the compiler creates this automatically for you unless you specifically create one,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,whenevery you dont specifiy your own,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,when a class does not explicitly include a constructor,5.0,sag,sag-78
When does C plus plus create a default constructor?,if no constructor is provided the compiler provides one by default if a constructor is defined for a class the compiler does not create a default constructor,the compiler will provide one when class does not explictly include a consructor,5.0,sag,sag-78
How many constructors can be created for a class?,unlimited number,1,0.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,several,4.5,sag,sag-17
How many constructors can be created for a class?,unlimited number,as many as you want with different parameters,5.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,as many as are needed depending on how many variables one wishes to directly modify or leave as default when instantiating an object,5.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,as many as needed,5.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,a very large amount of constructors can be created for any given class through overloading when two constructors with a different type or number of parameters are created they are said to be overloaded and c plus plus can recognize which constructor to use based on the type of the variables that are passed or returned,5.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,as many as you need,5.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,as many as wanted or needed,5.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,there can be infinite constructors as long as the signature is different,5.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,by default just one but they may be overloaded to create as many constructors as necessary,5.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,there is no limit to the number of constructors in a class because like functions constructors can be overloaded,5.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,as many as you want,5.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,it depends what type of class is being defined typically you would have a constructor call for each object,1.5,sag,sag-17
How many constructors can be created for a class?,unlimited number,one,0.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,in c plus plus the constructor can be overloaded in that there can be more than one constructor for a class each having different parameters,5.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,as many as the programmer wants to create,5.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,it depends on the number of objects each object should have a constructor,2.5,sag,sag-17
How many constructors can be created for a class?,unlimited number,just one per class,0.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,any number you want,5.0,sag,sag-17
How many constructors can be created for a class?,unlimited number,you can overload constructors as you need,5.0,sag,sag-17
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a prototype declares what will be used in the program and the definition,3.0,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a function prototype tells the compiler the function name return type and the number and type of parameters without revealing the implementations contained in the function definition,5.0,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a prototype only declares name return type and input type a definition also defines the scope variables process and return function,4.5,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,the prototype creates a framework to call the function definition while a function definition is where the function is actually programmed out and created into a final product,4.5,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,function prototypes tell the compiler the function names its return type and the types of its parameters where as function definitions actually implement the member functions,5.0,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,function definitions are just that the definition the prototype is what the compiler uses to check that calls to function are correct,2.0,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,function prototypes describe the class s public interface,4.5,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a function prototype lays out the name return type and the number and types of parameters the function expects to receive in a certain order the details for function prototypes are in the function definition,5.0,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a function definition is the code that defines the function placed in the brackets that determines that function s operation a function prototype shows the function s public interface without exposing implementation it shows name return type and type of paramaters,5.0,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a function prototype is a declaration of a function that tells the compiler the function s name its return type and the types of its parameters,5.0,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a function prototype just specifies parameters a function definition includes parameters and a code body,4.0,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a function prototype describes the class s public interface without providing how the function works a function definition contains the inner workings of the function,4.5,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,the function prototype is where the programmer declares that he or she is using a function other than main this is like declaring a variable the programmer knows that he or she will be using in the future but has yet to say where they are going to use it or how this is answers the question who it gives the function a name and character the function prototype by common practice is placed at the beginning of the program after the includes and before main the function definition is the guts of the function this is where the programmer decides what the function is going to do and tells it how to do it it takes whatever information it is given and performs the operations it works sort of like the brain the brain takes in input and based upon that input performs in some way producing an output the function defintion is placed outside of main and any other functions a function is its own entity and should be thought of as such,2.5,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,prototype states all functions in that class before compilation where the definition actually holds the source for the functions,3.5,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a prototype shows only return types and necessary parameters the definition includes names for those parameters and defines what the object is actually capable of doing,4.5,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a function definition does not require any additional information that needs to be passed inside its parenthesis to execute while a definition prototype requires more than one parameters to be passed in order to complete its task,4.0,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a function prototype is used to reference the compiler to a function that will be defined later on a function definition is the actual function itself complete with return type parameters etc,4.0,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,function prototype describes a classes interface without reviling whatever is inside as for the function definition cannot do that,4.5,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,prototype only tells the user what data types go into a function and what type is returned,4.5,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a function prototype simply declares the functions parameters the function definition includes any necessary variables and the function s actual code,4.0,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a function definition contains all the code for a function to work a function prototype just shows the output input and function name,4.5,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,a function prototype is just a declaration of the function existing and cant be used as an actual function a function has to be created with a definition within to tell the compiler what the function does,3.5,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,function prototype is located in the h file and only contains the access function name and paramater type function definition contains the code for the function to perform its activity,4.5,sag,sag-55
What is the difference between a function prototype and a function definition?,a function prototype includes the function signature i e the name of the function the return type and the parameters s type the function definition includes the actual body of the function,function prototype describe the class s public interface without revealing the class s member function implementations function definitions show what implementations are being done,4.5,sag,sag-55
What is the role of a header-file?,to store a class interface including data members and member function prototypes,the header file shows the user what types go into and come out of a function but does not allow a user to manipulate the actual code for the function,4.5,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,include hat h allows the use of the hat container so called from the act of pulling names from a hat the header file for hat includes functions for storage and retrieval of it is contents mainly put peek and pull,1.5,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,create a comon area to contain reusable functions,3.0,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,a header file is a cross communication method between source files to help limit the size of each individual program without header files a program will be 1 large lump of code and thus fairly hard to debug and traverse,3.5,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,to hide the definition and details of a class also to help readability of the main c plus plus file,3.5,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,to separate the source code from the main function allows the methods or classes to be included in the program without direct coding allows re usability,3.5,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,to hold reusable content or modules separate from the actual source code file that can be easily referenced and employed for different programs,4.0,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,the main role of header file is it is used to share information among various files,3.0,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,class definitions are placed here,3.0,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,to promote function reusuablitly,3.0,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,contains all the standard c plus plus library s i e string,1.0,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,the header file has access to the c plus plus standard library and makes certain classes like class string work,1.5,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,a header file usually contains class and function prototypes,4.5,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,header files separate files in which classes are defined and allow the compiler to recognize classes when used elsewhere,3.5,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,instruct the compiler on how to interface with library and user written components,2.5,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,no,0.0,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,a header file allows for the separation of declaration and implementation into separate files,4.0,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,to provide information about the contents of a library it includes the definition of classes declarations of functions data types and constants,4.5,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,header files contain code which can be used in multiple files,3.0,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,header files have reusable source code in a file that a programer can use,2.5,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,a header file is a file used to store a list of prototye functions and data members,5.0,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,a header file consists of reusable source code such as a class in a file that by convention has a h filename extension this differs from cpp files that contain source code,3.5,sag,sag-70
What is the role of a header-file?,to store a class interface including data members and member function prototypes,allow compiler to recognize the classes when used elsewhere,3.0,sag,sag-70
What does a function signature include?,the name of the function and the types of the parameters,it includes the specific information about the function such as input and output variable types and how many of each,3.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,input parameters and return type,3.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,the function signature includes the method name and the input types,5.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,a return type and input parameters,3.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,includes the name of the function and the types of its arguments,5.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,the signature can include a result type and thrown errors,2.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,a function signature includes the name of the function and the types of its arguments,5.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,a function signature includes a function s return type parameters and semi colon,3.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,function name and input paramaters,5.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,it includes the name of the program the type of parameters it can take it should also include a brief description of what the function does,4.5,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,the portion of the function prototyp tha has the function name and the arguments but not the return type,5.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,the name of the function and the types of its arguments this includes the number type and order the parameters appear in,5.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,it includes a function name and parameter list does not include return type function signatures must be different,5.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,name of the function and the types of it is arguments,5.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,the function signature includes the name of the function and the types of its arguments,5.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,identification of a function and the data types of its parameters it has the name and the data type variables,5.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,name paramaters scope and other general function information,4.5,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,the name of the function and its parameters,5.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,it includes the name of the function and the types of its arguments it does not specify the function return type function in the same scope must have unqiue signatures,5.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,a function s return type and parameter list,3.0,sag,sag-32
What does a function signature include?,the name of the function and the types of the parameters,it includes the name of the function and the types of its arguments,5.0,sag,sag-32
