question,reference_answer,answer,score,dataset,dataset_num,normalized_score,similarity_0,predicted_score_0,predicted_score_1,predicted_score_2
"Sebutkan 5 manfaat olahraga bagi tubuh. (Termasuk bagi pikiran, otot dan organ tubuh) ",mengurangi stress membentuk otot tubuh dan mengencangkan otot membakar lemak menghindarkan dari penyakit membuat organ tubuh lebih sehat meningkatkan stamina menghindari penuaan dini,agar tubuh sehat otot tidak tegang saraf pada otak biar bekerja peredaran darah lancar kuat,21,analisis_essay,analisis_essay-11,0.21,0.42824593,0.4464722,0.15071535,0.2184749
"Sebutkan 5 manfaat olahraga bagi tubuh. (Termasuk bagi pikiran, otot dan organ tubuh) ",mengurangi stress membentuk otot tubuh dan mengencangkan otot membakar lemak menghindarkan dari penyakit membuat organ tubuh lebih sehat meningkatkan stamina menghindari penuaan dini,meningkatkan pembentukan otot tubuh menjadikan kulit lebih sehat dan cerah meningkatkan daya ingat otak tubuh menjadi lebih bugar dan kuat mental juga menjadi lebih kuat dan terlatih,31,analisis_essay,analisis_essay-11,0.31,0.39915344,0.41844323,0.39669394,0.38781148
"Sebutkan 5 manfaat olahraga bagi tubuh. (Termasuk bagi pikiran, otot dan organ tubuh) ",mengurangi stress membentuk otot tubuh dan mengencangkan otot membakar lemak menghindarkan dari penyakit membuat organ tubuh lebih sehat meningkatkan stamina menghindari penuaan dini,sehat,6,analisis_essay,analisis_essay-11,0.06,0.035333265,0.06792333,0.071840405,0.0925408
"Sebutkan 5 manfaat olahraga bagi tubuh. (Termasuk bagi pikiran, otot dan organ tubuh) ",mengurangi stress membentuk otot tubuh dan mengencangkan otot membakar lemak menghindarkan dari penyakit membuat organ tubuh lebih sehat meningkatkan stamina menghindari penuaan dini,membantu mengontrol berat badan mencegah berbagai penyakit membakar kalori dalam tubuh meningkatkan kinerja otot meningkatkan sistem imun,43,analisis_essay,analisis_essay-11,0.43,0.4555036,0.4727334,0.50404054,0.4775273
"Apa yang anda ketahui mengenai PSSI? (Termasuk pengertian, organisasi yang tergabung dan ketua umum saat ini) ",pssi adalah persatuan sepak bola seluruh indonesia organisasi induk yang bertugas mengatur kegiatan olahraga sepak bola di indonesia pssi bergabung dengan fifa dan dengan afc pssi menggelar kompetisi liga indonesia setiap tahunnya dan piala indonesia ketua umum pssi sekarang adalah la nyalla mattalitti,ketua umum pssi saat ini la naylla mataliti pssi adalah organisasi induk yang bertugas mengatur kegiatan olahraga sepak bola di indonesia pssi berdiri pada tanggal 19 april 1930 dengan nama awal persatuan sepak raga seluruh indonesia ketua umum pertam,53,analisis_essay,analisis_essay-12,0.53,0.5506033,0.56435645,0.4869457,0.53001004
"Apa yang anda ketahui mengenai PSSI? (Termasuk pengertian, organisasi yang tergabung dan ketua umum saat ini) ",pssi adalah persatuan sepak bola seluruh indonesia organisasi induk yang bertugas mengatur kegiatan olahraga sepak bola di indonesia pssi bergabung dengan fifa dan dengan afc pssi menggelar kompetisi liga indonesia setiap tahunnya dan piala indonesia ketua umum pssi sekarang adalah la nyalla mattalitti,pssi adalah organisasi sepak bola yang ada di indonesia ketua umum pssi adalah yogik,22,analisis_essay,analisis_essay-12,0.22,0.23032232,0.25578412,0.29493654,0.2669876
"Apa yang anda ketahui mengenai PSSI? (Termasuk pengertian, organisasi yang tergabung dan ketua umum saat ini) ",pssi adalah persatuan sepak bola seluruh indonesia organisasi induk yang bertugas mengatur kegiatan olahraga sepak bola di indonesia pssi bergabung dengan fifa dan dengan afc pssi menggelar kompetisi liga indonesia setiap tahunnya dan piala indonesia ketua umum pssi sekarang adalah la nyalla mattalitti,setahuku itu adalah organisasi persatuan sepak nola se indonesia selebihnya belum mengetahui,13,analisis_essay,analisis_essay-12,0.13,0.08547129,0.11622845,0.13881785,0.16731219
"Apa yang anda ketahui mengenai PSSI? (Termasuk pengertian, organisasi yang tergabung dan ketua umum saat ini) ",pssi adalah persatuan sepak bola seluruh indonesia organisasi induk yang bertugas mengatur kegiatan olahraga sepak bola di indonesia pssi bergabung dengan fifa dan dengan afc pssi menggelar kompetisi liga indonesia setiap tahunnya dan piala indonesia ketua umum pssi sekarang adalah la nyalla mattalitti,organisasi induk yang bertugas mengatur kegiatan olahraga sepak bola di indonesia pssi berdiri pada tanggal 19 april 1930 dengan nama awal persatuan sepak raga seluruh indonesia ketua umum pertamanya adalah ir soeratin sosrosoegondo fifa pada tahun 1952 kemudian dengan afc pada tahun 1954 pssi menggelar kompetisi liga indonesia setiap tahunnya dan sejak tahun 2005 diadakan pula piala indonesia la nyalla mattalitti,73,analisis_essay,analisis_essay-12,0.73,0.8520997,0.8548311,0.76524174,0.7830612
"Apa yang anda ketahui mengenai PSSI? (Termasuk pengertian, organisasi yang tergabung dan ketua umum saat ini) ",pssi adalah persatuan sepak bola seluruh indonesia organisasi induk yang bertugas mengatur kegiatan olahraga sepak bola di indonesia pssi bergabung dengan fifa dan dengan afc pssi menggelar kompetisi liga indonesia setiap tahunnya dan piala indonesia ketua umum pssi sekarang adalah la nyalla mattalitti,pssi adalah persatuan sepak bola seluruh indonesia merupakan induk organisasi kegiatan olah raga sepak bola di indonesia organisasi yang tergabung adalah fifa dan afc ketua saat ini adalah la nyalla mattalitti,83,analisis_essay,analisis_essay-12,0.83,0.6661656,0.6756941,0.68214804,0.65612257
"Apa yang anda ketahui mengenai PSSI? (Termasuk pengertian, organisasi yang tergabung dan ketua umum saat ini) ",pssi adalah persatuan sepak bola seluruh indonesia organisasi induk yang bertugas mengatur kegiatan olahraga sepak bola di indonesia pssi bergabung dengan fifa dan dengan afc pssi menggelar kompetisi liga indonesia setiap tahunnya dan piala indonesia ketua umum pssi sekarang adalah la nyalla mattalitti,pssi adalah induk olahraga sepak bola indonesia yang diketuai la nyala matalliti,28,analisis_essay,analisis_essay-12,0.28,0.26465118,0.28885803,0.32683152,0.3779487
"Apa yang anda kethaui mengenai Rio Haryanto? (Termasuk tempat lahir, tim saat ini dan awal karir) ",rio haryanto lahir di solo jawa tengah rio merupakan seorang pebalap berkebangsaan indonesia yang kini membalap di ajang formula one f1 rio bergabung dengan tim manor racing rio adalah pembalap indonesia pertama yang masuk formula one f1 rio mengawali karir di balap gokart pada tahun 2002 dengan juara nasional gokart kelas kadet,pembalap f1 internasional,23,analisis_essay,analisis_essay-13,0.23,0.18617964,0.21325518,0.12101353,0.113581955
"Apa yang anda kethaui mengenai Rio Haryanto? (Termasuk tempat lahir, tim saat ini dan awal karir) ",rio haryanto lahir di solo jawa tengah rio merupakan seorang pebalap berkebangsaan indonesia yang kini membalap di ajang formula one f1 rio bergabung dengan tim manor racing rio adalah pembalap indonesia pertama yang masuk formula one f1 rio mengawali karir di balap gokart pada tahun 2002 dengan juara nasional gokart kelas kadet,rio haryanto adalah pembalap f1 nasional kita yang berasal dari indonesia,27,analisis_essay,analisis_essay-13,0.27,0.31797713,0.34023452,0.2642566,0.25494817
"Apa yang anda kethaui mengenai Rio Haryanto? (Termasuk tempat lahir, tim saat ini dan awal karir) ",rio haryanto lahir di solo jawa tengah rio merupakan seorang pebalap berkebangsaan indonesia yang kini membalap di ajang formula one f1 rio bergabung dengan tim manor racing rio adalah pembalap indonesia pertama yang masuk formula one f1 rio mengawali karir di balap gokart pada tahun 2002 dengan juara nasional gokart kelas kadet,rio haryanto merupakan seorang pebalap berkebangsaan indonesia yang kini membalap di ajang formula satu bersama tim manor racing 22 januari 1993 gp2 series dan f1,49,analisis_essay,analisis_essay-13,0.49,0.556924,0.57044613,0.49388897,0.5431544
"Apa yang anda kethaui mengenai Rio Haryanto? (Termasuk tempat lahir, tim saat ini dan awal karir) ",rio haryanto lahir di solo jawa tengah rio merupakan seorang pebalap berkebangsaan indonesia yang kini membalap di ajang formula one f1 rio bergabung dengan tim manor racing rio adalah pembalap indonesia pertama yang masuk formula one f1 rio mengawali karir di balap gokart pada tahun 2002 dengan juara nasional gokart kelas kadet,rio haryanto lahir di solo jawa tengah 22 januari 1993 umur 23 tahun merupakan seorang pebalap berkebangsaan indonesia yang kini membalap di ajang formula satu bersama tim manor racing sebagai pebalap asal indonesia pertama yang bisa membalap di level seri gp2 rio memiliki basis pendukung yang sangat besar rio juga adalah pembalap indonesia pertama dalam sejarah yang bisa menjajal mobil formula satu 2 ia juga disebut sebagai salah satu pebalap muda yang berpotensi menjadi wakil asia di ajang formula satu pada masa depan 3 pada tahun 2011 rio berpartisipasi di ajang seri gp3 bersama tim marussia manor racing dan di seri auto gp bersama tim driot arnoux motorsport dams dia mengawali kariernya di balap gokart pada tahun 2002 dengan juara nasional gokart kelas kadet pada tanggal 18 februari 2016 manor racing selaku tim balap f1 resmi mengumumkan rio haryanto menjadi pebalapnya untuk musim 2016 mendampingi pascal wehrlein rio sekaligus menjadi pebalap indonesia pertama yang berkiprah di ajang bergengsi tersebut,81,analisis_essay,analisis_essay-13,0.81,0.7641464,0.7700931,0.82468367,0.8002336
"Apa yang anda kethaui mengenai Rio Haryanto? (Termasuk tempat lahir, tim saat ini dan awal karir) ",rio haryanto lahir di solo jawa tengah rio merupakan seorang pebalap berkebangsaan indonesia yang kini membalap di ajang formula one f1 rio bergabung dengan tim manor racing rio adalah pembalap indonesia pertama yang masuk formula one f1 rio mengawali karir di balap gokart pada tahun 2002 dengan juara nasional gokart kelas kadet,rio lahir di solo dengan tim manor dengan awal karir di formula renault asia tahun 2009,43,analisis_essay,analisis_essay-13,0.43,0.33367994,0.35536328,0.37022826,0.3526052
"Apa yang anda kethaui mengenai Rio Haryanto? (Termasuk tempat lahir, tim saat ini dan awal karir) ",rio haryanto lahir di solo jawa tengah rio merupakan seorang pebalap berkebangsaan indonesia yang kini membalap di ajang formula one f1 rio bergabung dengan tim manor racing rio adalah pembalap indonesia pertama yang masuk formula one f1 rio mengawali karir di balap gokart pada tahun 2002 dengan juara nasional gokart kelas kadet,rio haryanto adalah pembalab formula 1 atau f1 bersama tim manor racing rio merupakan pembalab pertama asal indonesia yang bisa lolos dalam ajang f1,50,analisis_essay,analisis_essay-13,0.5,0.55875707,0.5722122,0.5034456,0.49069968
Apakah yang dimaksud dengan block dalam permainan bola voli dan posisi apa yang biasanya melakukan hal tersebut? ,block adalah upaya menggagalkan serangan smash dari pihak lawan dengan cara membendung bola di atas jaring sambil meloncat biasanya menggunakan kedua tangan block dilakukan pada posisi sebagai libero,block adalah menghalau bola lawan agar tidak dapat mendapatkan poin,28,analisis_essay,analisis_essay-14,0.28,0.29844886,0.32142013,0.28485507,0.28380853
Apakah yang dimaksud dengan block dalam permainan bola voli dan posisi apa yang biasanya melakukan hal tersebut? ,block adalah upaya menggagalkan serangan smash dari pihak lawan dengan cara membendung bola di atas jaring sambil meloncat biasanya menggunakan kedua tangan block dilakukan pada posisi sebagai libero,block atau membendung merupakan suatu upaya pemain untuk menutup datangnya bola dari lawan dengan jangkauan tangan di atas net,48,analisis_essay,analisis_essay-14,0.48,0.4275337,0.44578597,0.42277038,0.4134393
Apakah yang dimaksud dengan block dalam permainan bola voli dan posisi apa yang biasanya melakukan hal tersebut? ,block adalah upaya menggagalkan serangan smash dari pihak lawan dengan cara membendung bola di atas jaring sambil meloncat biasanya menggunakan kedua tangan block dilakukan pada posisi sebagai libero,upaya untuk membendung serangan dari lawan striker,23,analisis_essay,analisis_essay-14,0.23,0.29604802,0.31910706,0.30059612,0.2960467
Apakah yang dimaksud dengan block dalam permainan bola voli dan posisi apa yang biasanya melakukan hal tersebut? ,block adalah upaya menggagalkan serangan smash dari pihak lawan dengan cara membendung bola di atas jaring sambil meloncat biasanya menggunakan kedua tangan block dilakukan pada posisi sebagai libero,block adalah posisi untuk menahan serangan dari musuh dengan lompat menghalangi bola dari pukulan musuh yang mengarah pada lapangan team block biasanya dilakukan oleh pemain depan yang berdiri di dikat net jaring,68,analisis_essay,analisis_essay-14,0.68,0.505118,0.52053404,0.55464363,0.42656916
Apakah yang dimaksud dengan block dalam permainan bola voli dan posisi apa yang biasanya melakukan hal tersebut? ,block adalah upaya menggagalkan serangan smash dari pihak lawan dengan cara membendung bola di atas jaring sambil meloncat biasanya menggunakan kedua tangan block dilakukan pada posisi sebagai libero,block adalah upaya untuk membendung serangan dari lawan yaitu pemain menutup arah datangnya bola dari daerah lawan dari jangkauan tangan diatas net,48,analisis_essay,analisis_essay-14,0.48,0.48588705,0.5020061,0.42613187,0.43306497
Apakah yang dimaksud dengan block dalam permainan bola voli dan posisi apa yang biasanya melakukan hal tersebut? ,block adalah upaya menggagalkan serangan smash dari pihak lawan dengan cara membendung bola di atas jaring sambil meloncat biasanya menggunakan kedua tangan block dilakukan pada posisi sebagai libero,posisi menghalangi lawan,23,analisis_essay,analisis_essay-14,0.23,0.16980958,0.19748355,0.13744561,0.19800688
Sebutkan beberapa kondisi untuk dilakukannya kick off dalam sepak bola. (Sebutkan minimal 3) ,memulai pertandingan terjadinya gol memulai babak kedua memulai babak perpanjangan waktu,para pemain sudah siap dan berada pada posisi di lapangan,0,analisis_essay,analisis_essay-15,0.0,0.04681364,0.078984015,0.0015153848,0.0
Sebutkan beberapa kondisi untuk dilakukannya kick off dalam sepak bola. (Sebutkan minimal 3) ,memulai pertandingan terjadinya gol memulai babak kedua memulai babak perpanjangan waktu,awal babak pertama awal babak kedua setelah dilakukannya penalti,42,analisis_essay,analisis_essay-15,0.42,0.6348181,0.6454927,0.53229165,0.3535368
Sebutkan beberapa kondisi untuk dilakukannya kick off dalam sepak bola. (Sebutkan minimal 3) ,memulai pertandingan terjadinya gol memulai babak kedua memulai babak perpanjangan waktu,lapangan yang memadai lampu yang cukup kursi penonton,0,analisis_essay,analisis_essay-15,0.0,0.0535641,0.08548769,0.0,0.0
Sebutkan beberapa kondisi untuk dilakukannya kick off dalam sepak bola. (Sebutkan minimal 3) ,memulai pertandingan terjadinya gol memulai babak kedua memulai babak perpanjangan waktu,kedua tim telah siap di lapangan tidak adanya suporter yang masuk kedalam lapangan sistem keamanan memadai,0,analisis_essay,analisis_essay-15,0.0,0.022749553,0.055799644,0.041370675,0.023210535
Sebutkan beberapa kondisi untuk dilakukannya kick off dalam sepak bola. (Sebutkan minimal 3) ,memulai pertandingan terjadinya gol memulai babak kedua memulai babak perpanjangan waktu,pemain lengkap wasit ada perlengkapan siap,0,analisis_essay,analisis_essay-15,0.0,0.045771655,0.07798012,0.0,0.0
Sebutkan beberapa kondisi untuk dilakukannya kick off dalam sepak bola. (Sebutkan minimal 3) ,memulai pertandingan terjadinya gol memulai babak kedua memulai babak perpanjangan waktu,pertandingan sudah siap dan akan dimulainya pertandingan,27,analisis_essay,analisis_essay-15,0.27,0.2366367,0.26186764,0.13932322,0.12605658
"Apa yang anda ketahui mengenai Cristiano Ronaldo? (lahir, kebangsaan, klub saat ini, klub sebelum, nomor punggung dan sebutannya) ",cristiano ronaldo lahir di portugal 5 februari 1985 cristiano ronaldo dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah saat ini ia bermain untuk tim spanyol real madrid dan untuk tim nasional portugal sebelunya ia pernah bermain di sporting lisboa dan manchester united cristiano ronaldo kerap bernomor punggung 7 hingga mendapat sebutanan cr7,lahir di santo antonio portugal 5 februari 1985 saat ini berada di klub real madrid dan klub sebelumnya adalah manchester united pada saat di mu bernomor punggung 7 dan di real madrid 7,73,analisis_essay,analisis_essay-16,0.73,0.56452376,0.5777681,0.59912145,0.5294809
"Apa yang anda ketahui mengenai Cristiano Ronaldo? (lahir, kebangsaan, klub saat ini, klub sebelum, nomor punggung dan sebutannya) ",cristiano ronaldo lahir di portugal 5 februari 1985 cristiano ronaldo dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah saat ini ia bermain untuk tim spanyol real madrid dan untuk tim nasional portugal sebelunya ia pernah bermain di sporting lisboa dan manchester united cristiano ronaldo kerap bernomor punggung 7 hingga mendapat sebutanan cr7,nama lengkap cristiano ronaldo dos santos aveiro lahir di funchal madeira portugal 5 februari 1985 umur 31 tahun atau lebih dikenal cristiano ronaldo merupakan seorang pemain sepak bola portugal posisi sebagai sayap kiri atau kanan serta penyerang tengah saat ini ia bermain untuk tim spanyol real madrid dan untuk tim nasional portugal sebelum bermain untuk real madrid ia pernah bermain di sporting lisboa dan manchester united pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan cr7 gabungan dari inisial nama dan nomor punggungnya dia memakai nomor punggung 7 di united yang sebelumnya dikenakan oleh johnny berry george best steve coppell bryan robson eric cantona dan david beckham setelah menghabiskan tahun pertamanya di madrid mengenakan nomor punggung 9 ia mulai mengenakan nomor 7 lagi menyusul kepergian pemain legendaris raul gonzalez segudang prestasi telah berhasil dia raih cristiano ronaldo berhasil meraih gelar fifa ballon d or di bulan januari 2015 lalu yang diadakan di markas fifa zurich swiss gelar fifa ballon d or ini merupakan penghargaan ketiga bagi ronaldo setelah sebelumnya pada tahun 2013 lalu dan 2008 ketika masih berseragam manchester united,74,analisis_essay,analisis_essay-16,0.74,0.78286016,0.78812265,0.809425,0.7725324
"Apa yang anda ketahui mengenai Cristiano Ronaldo? (lahir, kebangsaan, klub saat ini, klub sebelum, nomor punggung dan sebutannya) ",cristiano ronaldo lahir di portugal 5 februari 1985 cristiano ronaldo dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah saat ini ia bermain untuk tim spanyol real madrid dan untuk tim nasional portugal sebelunya ia pernah bermain di sporting lisboa dan manchester united cristiano ronaldo kerap bernomor punggung 7 hingga mendapat sebutanan cr7,cristiano ronaldo dos santos aveiro oih lahir di funchal madeira portugal 5 februari 1985 umur 31 tahun atau lebih dikenal cristiano ronaldo merupakan seorang pemain sepak bola portugal ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah saat ini ia bermain untuk tim spanyol real madrid dan untuk tim nasional portugal sebelum bermain untuk real madrid ia pernah bermain di sporting lisboa dan manchester united pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan cr7 gabungan dari inisial nama dan nomor punggungnya dia memakai nomor punggung 7 di united yang sebelumnya dikenakan oleh johnny berry george best steve coppell bryan robson eric cantona dan david beckham setelah menghabiskan tahun pertamanya di madrid mengenakan nomor punggung 9 ia mulai mengenakan nomor 7 lagi menyusul kepergian pemain legendaris raul gonzalez segudang prestasi telah berhasil dia raih cristiano ronaldo berhasil meraih gelar fifa ballon d or di bulan januari 2015 lalu yang diadakan di markas fifa zurich swiss gelar fifa ballon d or ini merupakan penghargaan ketiga bagi ronaldo setelah sebelumnya pada tahun 2013 lalu dan 2008 ketika masih berseragam manchester united,74,analisis_essay,analisis_essay-16,0.74,0.7926231,0.79752874,0.80410737,0.7751988
"Apa yang anda ketahui mengenai Cristiano Ronaldo? (lahir, kebangsaan, klub saat ini, klub sebelum, nomor punggung dan sebutannya) ",cristiano ronaldo lahir di portugal 5 februari 1985 cristiano ronaldo dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah saat ini ia bermain untuk tim spanyol real madrid dan untuk tim nasional portugal sebelunya ia pernah bermain di sporting lisboa dan manchester united cristiano ronaldo kerap bernomor punggung 7 hingga mendapat sebutanan cr7,cristiano ronaldo lahir di portugal 5 februari 1985 berkebangsaan portugal bernomor punggung 7 mengikuti klub manchester united dan real madrid,72,analisis_essay,analisis_essay-16,0.72,0.62744015,0.63838446,0.5649772,0.6042656
"Apa yang anda ketahui mengenai Cristiano Ronaldo? (lahir, kebangsaan, klub saat ini, klub sebelum, nomor punggung dan sebutannya) ",cristiano ronaldo lahir di portugal 5 februari 1985 cristiano ronaldo dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah saat ini ia bermain untuk tim spanyol real madrid dan untuk tim nasional portugal sebelunya ia pernah bermain di sporting lisboa dan manchester united cristiano ronaldo kerap bernomor punggung 7 hingga mendapat sebutanan cr7,cristiano ronaldo adalah pemain sepak bola asal portugal yang sekarang membela real madrid yang dahulunya mantan pemain manchester united pemain ini bernomor punggung 7,49,analisis_essay,analisis_essay-16,0.49,0.59263027,0.6048471,0.5250096,0.527238
